"employeeId","salaries"
809330,1733372
808270,1843080
801191,1548299
806179,1883741
806999,1152477
801951,1136405
805536,1649884
809263,1720232
805321,1706967
809427,1836970
808468,1128394
801963,1836994
804421,1315120
802528,1114491
804689,1533712
805202,1245712
802808,1970426
806262,1981534
809923,1164824
803446,1352187
805098,1309725
809688,1655566
801881,1316315
802003,1937282
808902,1759100
807680,1558770
809222,1536573
806952,1304639
801360,1755650
803033,1648779
801278,1386850
805590,1667800
803925,1151375
805584,1855588
803360,1713666
809842,1119117
803503,1729958
802051,1521133
804039,1461621
805634,1770383
802315,1177863
807629,1927584
802046,1391810
806922,1556803
805874,1753174
803383,1987189
806253,1979475
808367,1427728
808941,1128762
808512,1100699
802928,1597548
809953,1864521
808233,1271868
808752,1962016
805390,1241178
808051,1682092
803840,1685810
806965,1749256
802740,1561467
802212,1635072
801550,1621199
803490,1709960
803441,1659013
804438,1759741
804916,1104093
806997,1521644
802187,1803612
809373,1448358
807264,1879920
808961,1283479
803138,1791498
808009,1463524
802587,1495322
801165,1788537
802623,1248151
802294,1174196
809887,1123300
801900,1182136
801290,1644605
802347,1187111
807777,1453075
809410,1975426
806818,1771424
807783,1928040
802195,1547108
808318,1736290
808946,1564819
809238,1433482
802817,1955753
805224,1141044
805683,1955184
806330,1332563
805696,1990004
806534,1459952
809808,1191128
801381,1221376
804048,1703811
808262,1956851
805186,1678043
807971,1428700
803589,1954307
802510,1690505
802377,1114721
802524,1533056
806794,1720955
804910,1487446
805065,1471887
806044,1231259
804360,1630429
802681,1920923
809626,1620723
809126,1804149
801498,1950192
801851,1304402
807018,1762521
804508,1310045
806671,1797764
805373,1347095
808338,1865287
808292,1614675
801515,1576027
801750,1886280
805360,1882629
808037,1980415
808214,1707380
806616,1480455
801807,1458589
808210,1699489
805136,1653720
804384,1236728
809394,1719531
804679,1140064
809670,1896309
807013,1321652
805589,1852532
807126,1752856
807566,1263548
801861,1290471
805456,1553512
801234,1365060
802776,1236352
807690,1815330
803177,1593178
807798,1407409
805951,1148320
807918,1324546
805493,1263997
809080,1944213
803077,1358523
802084,1744911
805231,1931294
805472,1243705
801442,1303862
808730,1887182
802495,1709132
807039,1178244
805840,1337858
806667,1689884
804743,1106720
806334,1138780
808613,1353384
806429,1407180
805367,1328351
805582,1961604
808202,1762495
807864,1808134
801455,1755865
809156,1301040
801943,1384989
801904,1363546
802722,1269389
806083,1117296
804881,1975842
805639,1191558
803287,1427762
802013,1148287
801971,1275115
801469,1950554
801391,1743894
805365,1879752
805540,1481794
807336,1666452
806700,1403134
802579,1957888
806626,1467266
808743,1868077
803380,1813705
801843,1482122
805220,1489306
805190,1360698
809320,1260409
806732,1543053
802734,1530581
808720,1539421
809981,1902468
803334,1933690
807428,1361836
807542,1754914
806433,1304613
803638,1835021
806370,1309821
809965,1141072
801981,1939112
809108,1429847
809103,1334121
808677,1140159
801633,1357777
809395,1665341
803002,1392758
807571,1447400
801042,1846896
809290,1479822
805039,1436060
807105,1892185
807966,1114685
804798,1368063
802151,1484841
804701,1231079
803741,1347026
801533,1707871
806594,1303130
803544,1431174
802569,1757575
803835,1526356
803972,1226842
806171,1495006
807505,1173394
802417,1862607
801166,1241579
804063,1860877
805724,1114781
801219,1564699
801308,1473716
804254,1489338
802883,1687812
802739,1901971
802320,1835532
809533,1292023
803324,1975880
806466,1291009
805045,1593608
809913,1534528
807474,1994520
805778,1531238
808948,1453791
807130,1573107
803770,1846696
808079,1217627
801913,1872306
805823,1277290
802742,1178331
802019,1210310
807298,1313798
805431,1958301
803369,1481327
809655,1990616
804518,1327223
805545,1957008
805209,1288966
802997,1886461
807249,1126248
807926,1107263
806337,1630535
801316,1506031
806147,1402006
804260,1633886
801103,1358548
802354,1529165
802444,1720830
807537,1442027
804419,1761507
804570,1303012
805914,1923268
803122,1562975
804453,1200740
801839,1172238
808906,1491409
802685,1507814
803998,1902035
805250,1705362
804923,1924030
802029,1619988
802270,1735824
805735,1231218
809749,1712224
804598,1178982
805181,1946882
801736,1178482
806529,1535589
803714,1829857
802016,1161376
801640,1175125
807252,1251398
807399,1554040
807368,1478722
806293,1584184
803887,1727863
801156,1300069
801300,1830634
809018,1156589
803756,1247483
801160,1430293
801143,1225599
806142,1801859
801603,1518531
803394,1308920
806619,1812025
807930,1810784
806190,1794350
805913,1625369
804521,1882836
804574,1762232
803866,1324109
808213,1733952
809007,1113025
808713,1540543
801077,1947127
807841,1621954
806035,1995132
803725,1748691
809916,1245088
807723,1631405
801459,1434682
809127,1484179
807610,1582267
804795,1957250
804606,1693676
803385,1272436
807002,1800252
801138,1440744
804516,1500987
809693,1162967
808088,1912443
804827,1961258
804532,1685176
805072,1408979
807062,1536779
808112,1868816
803231,1583895
807307,1343931
803820,1870176
806654,1688901
801620,1396520
802718,1734246
802749,1249896
804750,1735657
806842,1187251
805210,1992355
801631,1584778
807401,1322733
805370,1436328
809278,1809418
808433,1722194
808560,1701237
808481,1455088
807724,1474376
809044,1893995
801350,1654237
804091,1427778
807024,1741526
804362,1551322
806987,1718342
808372,1612081
802633,1764808
805020,1706266
801448,1639471
805842,1580877
803015,1657150
809614,1445011
801578,1546515
807839,1718017
809643,1939274
801596,1370034
809471,1951699
801591,1471445
808536,1979793
806791,1848233
804947,1552214
809469,1159033
808347,1299238
806704,1210634
801623,1514295
803059,1135058
806625,1911790
808958,1591720
801433,1483461
808552,1112770
808199,1637220
807498,1746607
801329,1265028
809530,1317907
807165,1180492
802367,1116082
801066,1469787
808294,1257579
801061,1905769
808363,1900981
808898,1887943
802487,1366695
809653,1324725
805906,1977793
809782,1849095
805552,1670412
808570,1571853
804699,1959067
805804,1952171
807155,1532879
804395,1625769
809426,1103781
805961,1433184
806406,1441604
806883,1947793
808413,1411593
802701,1453776
801742,1106108
808006,1566513
807480,1803984
807561,1133511
809991,1684149
802830,1696862
808440,1916683
802828,1769338
809795,1722628
808543,1742773
806407,1865632
804369,1812913
801998,1198555
809718,1620042
807811,1193163
805858,1436604
803295,1574949
804482,1500074
805716,1840977
808801,1698039
804196,1778145
807389,1647807
806231,1887798
809935,1760580
803097,1427055
802053,1203665
806744,1816000
801697,1349132
803119,1911699
804529,1454221
809505,1640824
801749,1505021
804778,1700312
802873,1102558
802703,1915856
805007,1118471
803034,1811085
803790,1775158
803145,1113160
804692,1674397
807699,1584182
801505,1202085
801879,1445868
803160,1597778
807383,1172826
806941,1512119
801528,1607531
803123,1179314
809439,1441774
801994,1350354
805574,1327407
808605,1936032
801315,1285162
801196,1949120
802914,1466884
803255,1407647
806321,1457009
803973,1217505
807638,1789493
809076,1699923
808589,1500198
807118,1961336
805659,1968549
807366,1448364
802507,1158746
809946,1269410
803599,1694336
806780,1387842
802624,1777162
802108,1147342
806043,1913335
801509,1836592
809273,1833052
805325,1167211
805257,1766931
803363,1116463
804553,1625850
802731,1217167
808350,1850894
802957,1608816
805150,1238921
804197,1781172
806333,1377808
805475,1284818
803007,1209539
809921,1503721
805180,1689694
802626,1986583
803192,1455277
808442,1251593
809106,1152721
808890,1315116
809914,1434244
803308,1498196
806446,1570587
804291,1749988
806880,1842315
801120,1370064
801100,1489527
807652,1825744
804071,1638726
801853,1386069
802746,1818569
805551,1314857
807803,1289725
801152,1632743
807754,1395997
807275,1135211
801758,1779566
809880,1208941
804616,1227604
804401,1949650
809019,1717034
801837,1658727
801874,1411916
809335,1454313
801292,1134593
803249,1559980
804984,1113465
802706,1113523
804375,1841157
805558,1255950
807909,1803210
806283,1855956
804326,1579600
809988,1791490
804736,1649365
804340,1683759
803944,1182904
801886,1644351
808741,1378539
805058,1306462
807633,1845930
801885,1849267
806515,1261798
804655,1236492
807075,1129349
802360,1259191
803855,1297634
802930,1507062
804120,1198827
805178,1350044
808152,1130588
804543,1528804
803684,1499128
806103,1479047
801650,1140171
804838,1655035
804346,1159153
807937,1144322
802939,1523815
808352,1153361
802201,1761198
807497,1533527
809572,1743135
805446,1139105
801540,1992772
804057,1165929
803223,1507880
808669,1383446
806857,1257885
808590,1907209
808238,1472742
808907,1657251
804631,1676929
805602,1510636
807187,1911093
803464,1796708
806250,1531832
809229,1306783
805941,1211368
808478,1851484
806312,1899770
809660,1982856
802772,1597095
809366,1721864
804862,1939568
808404,1218518
804958,1863974
802000,1993642
802234,1274382
809317,1827447
801175,1397145
802445,1791527
807532,1274550
807762,1158454
804835,1721308
807445,1175255
803657,1575159
808885,1239789
802996,1453905
808164,1192165
808644,1710233
807168,1156072
807304,1468530
805127,1512212
805450,1649035
803703,1520808
803579,1989797
801121,1782332
808273,1308466
805579,1613682
804787,1991868
803552,1308046
805222,1349812
805626,1774978
808412,1911951
805636,1283035
803500,1765692
807026,1240159
801834,1846561
803946,1449154
807568,1385976
805799,1919130
807512,1133973
807815,1436816
806819,1105119
801601,1346138
806884,1333178
808099,1465914
803227,1749187
808872,1228683
808957,1761039
807569,1330636
802254,1672988
809721,1508769
803882,1429967
806304,1831750
803872,1600820
804338,1964460
804019,1674114
807876,1794109
803137,1644480
809730,1989673
803547,1281508
804232,1332810
806332,1604364
801248,1113411
805275,1527215
807276,1266714
809296,1398126
803868,1708050
801828,1286631
802208,1371925
803524,1820649
809318,1483294
803776,1822063
801462,1958799
808773,1936460
803066,1578901
805810,1289528
806477,1262047
801344,1531297
809115,1682612
809242,1709100
804007,1744929
802561,1995985
802864,1821607
806672,1607152
801055,1887460
808785,1195832
809447,1679886
808562,1158522
808024,1551778
801558,1926777
802061,1655450
804165,1977374
803261,1306836
802726,1902509
801527,1213563
806301,1833876
802215,1589899
807040,1639215
806425,1653417
801375,1457485
808929,1846135
805111,1893966
804722,1728428
801355,1169224
808759,1993103
805195,1531547
809851,1508185
802451,1418632
804673,1134551
803111,1138503
801359,1155774
805501,1659874
803989,1304137
805618,1974116
805214,1840240
806172,1928338
807384,1885893
804895,1314494
805660,1757684
803458,1569746
806741,1657707
809014,1755323
808819,1737312
806804,1319620
806291,1904978
806352,1573732
808280,1321707
807289,1632066
801113,1183275
809683,1482990
802370,1171967
806954,1774717
805074,1119350
801203,1229406
802152,1728083
808933,1132865
801353,1602609
808825,1230258
806038,1702146
801991,1632722
801291,1231330
803082,1241186
804439,1545965
804177,1306029
807597,1460908
803010,1447026
808290,1420616
804554,1478970
808721,1982084
809849,1907568
806879,1211900
809518,1277709
809325,1514962
806499,1381020
808242,1786811
804208,1615223
808380,1844007
807328,1550302
803532,1981477
808876,1631233
806564,1579985
802673,1629045
803069,1646974
803595,1479774
805570,1758284
804651,1294198
803078,1951970
808806,1468648
801976,1342676
802977,1332579
801581,1683017
806722,1514905
801673,1232792
806323,1606900
804188,1505552
805113,1582652
806501,1424482
802477,1875407
805866,1310825
806280,1541643
809495,1379571
804541,1583426
804443,1276750
804901,1906920
809140,1343833
804417,1582372
805316,1518676
801327,1883873
806278,1197827
803808,1542060
801762,1276091
805276,1953936
808335,1383645
808866,1703388
803216,1184976
808771,1347274
804172,1696077
801275,1376719
808563,1571723
805038,1394930
802180,1151288
807377,1467213
807251,1283460
809792,1359818
802142,1263394
808384,1711734
808360,1421435
809648,1957381
803769,1432439
805871,1832311
807746,1285042
804475,1630384
808016,1530809
803568,1294989
803629,1917906
804182,1426110
808794,1184747
804228,1845234
803726,1664239
808760,1496514
804207,1490734
807939,1660982
809475,1514911
806219,1853910
803525,1957277
808618,1843177
802814,1324613
801817,1773184
806581,1841464
806115,1832922
807771,1492035
802164,1581578
805495,1610421
806601,1296850
809294,1301807
803197,1344200
806849,1436756
804040,1910317
809129,1460797
809501,1872568
809679,1946780
809635,1105304
803682,1733434
802161,1343118
801256,1145367
803264,1590216
807181,1123396
803232,1362608
807670,1200557
808833,1954617
808019,1277838
808139,1663937
809308,1122721
802891,1571653
802319,1979577
808185,1936785
802567,1488409
807950,1968765
803681,1384031
804159,1370264
803667,1161031
806411,1814762
803279,1967512
805235,1347455
806281,1503727
804794,1109851
805184,1129726
805523,1576805
808940,1490607
807128,1273964
801636,1486439
807645,1537386
807144,1967202
804334,1939858
805666,1615321
803977,1579575
804527,1941840
808624,1383844
808684,1996522
807327,1184141
806269,1472463
808622,1492501
808268,1195571
806962,1639299
809169,1623843
809788,1898072
802008,1248638
801779,1437467
806351,1981399
805703,1133872
807708,1188190
804937,1511890
801477,1931097
805067,1597671
801513,1522374
802176,1684617
803878,1942791
804413,1729204
807599,1666258
803771,1443887
809226,1989335
801635,1755775
804161,1616591
802723,1801745
807756,1616505
808052,1387152
804430,1220508
808157,1318005
808432,1669803
808324,1688423
806401,1341469
809801,1838959
807643,1624891
801545,1585420
807031,1417208
808938,1715986
805385,1647735
807378,1119028
805776,1441895
803094,1267980
801784,1908768
801863,1952942
809368,1772099
807749,1248247
807745,1286263
802207,1888611
809835,1207228
807987,1204932
809547,1451817
806828,1780764
808963,1806017
801608,1771630
806182,1499754
809709,1914162
805140,1960221
806915,1340234
804818,1548798
809884,1352136
801840,1824176
806783,1871390
801541,1353748
801260,1169338
801681,1316823
808081,1658410
806314,1353372
801174,1509868
807492,1602238
804076,1958509
803126,1593899
801082,1374403
807857,1837790
806887,1796951
809099,1833977
807069,1995175
808609,1516255
804607,1973658
805199,1337502
803886,1756392
803241,1121325
801059,1333030
805548,1285293
808243,1761103
808064,1644097
802704,1578073
804819,1671150
806158,1205116
802659,1100563
809448,1155700
804556,1489756
805976,1783244
807111,1239890
806326,1204548
802634,1324203
807494,1509703
808797,1664495
808979,1460716
802337,1543448
802050,1328497
808129,1862756
809977,1923409
801029,1688523
801676,1308976
808492,1909451
803584,1779372
809786,1897916
801139,1802029
802317,1110039
803348,1710898
805721,1446483
806675,1470202
807958,1949491
806234,1168459
801619,1116582
806452,1363522
805457,1991030
804191,1793027
807504,1644451
801655,1613716
805697,1573878
805764,1697253
802241,1653564
805354,1893300
801063,1198375
808047,1612966
803136,1980216
809564,1541367
807334,1660867
801967,1756645
804229,1422152
806487,1156473
801987,1168772
809295,1851749
808241,1324190
805979,1537260
804572,1349134
809350,1718149
807717,1239649
805661,1960485
807090,1946474
809891,1831161
808964,1193527
801159,1855298
803991,1845284
802525,1146878
808021,1165494
807751,1372615
808105,1848009
803927,1894801
801036,1925452
805571,1724618
808937,1935538
804623,1384109
802327,1833432
803155,1144301
805713,1659257
804802,1965506
801507,1816640
808863,1243155
803675,1388225
801898,1294875
803836,1301763
807863,1422173
802645,1725216
803512,1731351
801453,1920777
808919,1400340
803086,1687469
805975,1207812
809271,1866112
803435,1731405
